ts,open,high,low,close,bar_count,range_pips,atr14_pips
2024-08-01,1.08328,1.08354,1.07774,1.0793,1440,58.00000000000027,39.592857142857206
2024-08-02,1.07931,1.09265,1.07861,1.09098,1020,140.3999999999983,45.835714285714175
2024-08-04,1.09225,1.09311,1.09028,1.09305,420,28.300000000001102,44.10714285714284
2024-08-05,1.09305,1.10088,1.08923,1.0954,1437,116.50000000000159,51.10714285714302
2024-08-06,1.09541,1.09558,1.09037,1.09157,1440,52.09999999999937,53.25714285714299
2024-08-07,1.09157,1.09366,1.09053,1.09348,1439,31.30000000000077,53.800000000000196
2024-08-08,1.09348,1.09451,1.08814,1.09228,1434,63.69999999999987,54.5571428571431
2024-08-09,1.09228,1.09313,1.0909,1.09167,1019,22.299999999999542,53.23571428571444
2024-08-11,1.09142,1.0923,1.091,1.0914,413,13.000000000000789,51.18571428571448
2024-08-12,1.09138,1.09393,1.09136,1.09369,1431,25.699999999999612,51.15714285714303
2024-08-13,1.09369,1.09996,1.09137,1.099,1438,85.90000000000097,55.92142857142887
2024-08-14,1.099,1.10473,1.09863,1.1008,1430,60.99999999999994,55.92857142857161
2024-08-15,1.10082,1.10154,1.09495,1.0977,1437,65.89999999999874,57.964285714285744
2024-08-16,1.09771,1.10296,1.0976,1.10211,1019,53.600000000000314,58.407142857142944
2024-08-18,1.10265,1.10403,1.10227,1.10389,418,17.599999999999838,55.52142857142862
2024-08-19,1.1039,1.10875,1.10301,1.10755,1430,57.39999999999856,49.59285714285721
2024-08-20,1.10756,1.11325,1.10719,1.1121,1435,60.600000000001764,51.90000000000011
2024-08-21,1.1121,1.1174,1.10992,1.11446,1438,74.7999999999993,48.92142857142853
2024-08-22,1.11446,1.11646,1.1098,1.11247,1434,66.6000000000011,49.957142857142934
2024-08-23,1.11248,1.12008,1.11055,1.1191,1019,95.30000000000038,54.52857142857148
2024-08-25,1.11854,1.12015,1.11815,1.11834,416,20.000000000000018,51.40714285714292
2024-08-26,1.11834,1.11892,1.115,1.11667,1434,39.199999999999235,52.61428571428576
2024-08-27,1.11667,1.11905,1.11501,1.11657,1428,40.40000000000043,54.57142857142859
2024-08-28,1.11657,1.11679,1.1105,1.11356,1430,62.89999999999907,57.228571428571406
2024-08-29,1.11357,1.11399,1.10556,1.10737,1437,84.29999999999937,57.11428571428558
2024-08-30,1.10736,1.1095,1.10438,1.10456,1020,51.20000000000013,56.41428571428559
2024-09-01,1.10462,1.10556,1.10419,1.10484,412,13.700000000000934,52.68571428571432
2024-09-02,1.10485,1.10773,1.10439,1.10579,1387,33.40000000000121,51.24285714285724
2024-09-03,1.10579,1.1069,1.10263,1.1054,1438,42.69999999999996,53.03571428571439
2024-09-04,1.10538,1.10951,1.104,1.10769,1437,55.099999999999035,52.871428571428716
2024-09-05,1.10769,1.11197,1.10746,1.11151,1436,45.09999999999792,51.76428571428558
2024-09-06,1.11151,1.11556,1.10656,1.10825,1020,90.00000000000118,52.84999999999999
2024-09-08,1.10781,1.1091,1.10781,1.10799,418,12.900000000000134,49.01428571428564
