date,side,sweep_time,sweep_hour,asian_range_pips,reached_target,excursion_beyond_level_pips,excursion_beyond_entry_pips,excursion_pct_of_asian_range,minutes_sweep_to_turn,minutes_turn_to_target,n_pokes,reclaimed,minutes_sweep_to_reclaim,reclaim_price,excursion_at_reclaim_pips,max_adverse_after_reclaim_pips,retested_level_after_reclaim
2021-10-04,high,04:01,4,26.0,False,26.4,26.6,101.5,267,,10,True,0.0,1.16134,0.6,26.6,True
2021-10-05,low,02:00,2,21.7,False,17.7,14.8,81.6,498,,21,True,47.0,1.15983,4.5,17.9,True
2021-10-06,low,02:00,2,9.9,False,58.7,53.0,592.9,263,,1,False,,,,,
2021-10-07,low,02:00,2,9.9,True,2.2,1.1,22.2,6,29.0,1,True,3.0,1.15525,1.8,3.6,True
2021-10-08,low,02:00,2,10.0,True,8.0,2.0,80.0,0,187.0,2,True,71.0,1.15497,8.0,6.5,True
2021-10-11,high,02:01,2,14.3,True,7.5,6.0,52.4,44,100.0,5,True,1.0,1.15791,2.4,7.6,True
2021-10-12,high,02:00,2,13.6,True,9.6,8.2,70.6,56,332.0,10,True,12.0,1.15602,3.2,10.1,True
2021-10-13,high,03:39,3,25.7,False,23.0,23.0,89.5,448,,7,True,1.0,1.1555,0.5,23.6,True
2021-10-14,high,02:43,2,12.3,True,23.3,22.9,189.4,155,323.0,7,True,1.0,1.16005,1.0,23.7,True
2021-10-15,high,02:51,2,23.5,False,6.9,7.6,29.4,78,,6,True,0.0,1.16109,0.1,7.6,True
2021-10-18,low,02:00,2,16.5,True,9.5,8.0,57.6,49,310.0,12,True,70.0,1.15816,9.5,5.1,True
2021-10-19,high,02:00,2,33.6,False,22.7,17.9,67.6,236,,9,True,76.0,1.1646,10.9,23.3,True
2021-10-20,low,03:29,3,19.9,True,10.8,8.1,54.3,10,380.0,8,True,59.0,1.16281,10.8,6.9,True
2021-10-21,low,02:00,2,16.4,False,19.9,21.6,121.3,362,,3,True,0.0,1.16527,0.5,21.6,True
2021-10-22,high,02:25,2,10.8,False,23.8,22.9,220.4,524,,7,True,334.0,1.1631,14.7,24.6,True
2021-10-26,low,03:04,3,13.3,True,2.7,2.9,20.3,24,51.0,7,True,0.0,1.1597,0.1,2.9,True
2021-10-27,low,02:00,2,8.5,True,0.5,0.8,5.9,6,27.0,2,True,0.0,1.15961,0.1,0.8,True
2021-10-28,high,03:38,3,20.4,True,4.8,5.6,23.5,31,42.0,2,True,0.0,1.16088,0.1,5.6,True
2021-10-29,low,02:00,2,16.9,False,127.6,123.5,755.0,568,,3,True,74.0,1.16738,15.0,128.4,True
2021-11-01,high,02:57,2,14.3,False,33.7,30.0,235.7,466,,1,True,18.0,1.15601,8.4,33.9,True
2021-11-02,high,02:17,2,13.4,True,4.9,3.6,36.6,34,58.0,3,True,3.0,1.16081,2.0,5.2,True
2021-11-03,high,02:17,2,10.2,True,10.3,10.2,101.0,142,214.0,15,True,1.0,1.1586,0.1,11.7,True
2021-11-04,low,02:00,2,21.8,False,62.5,51.1,286.7,505,,1,False,,,,,
2021-11-05,high,02:06,2,16.7,True,5.3,5.1,31.7,27,114.0,5,True,1.0,1.15571,0.2,5.8,True
2021-11-08,high,02:00,2,10.0,True,3.0,0.1,30.0,15,22.0,2,True,10.0,1.15625,2.9,3.6,True
2021-11-09,high,02:01,2,22.2,True,3.9,3.8,17.6,11,299.0,2,True,1.0,1.15983,0.5,4.8,True
2021-11-10,low,02:00,2,13.6,False,70.4,67.7,517.6,529,,1,True,174.0,1.15819,23.8,70.8,True
2021-11-11,low,02:57,2,19.8,False,10.9,10.5,55.1,24,,16,True,36.0,1.14659,10.9,11.8,True
2021-11-12,high,02:00,2,7.0,True,13.0,13.9,185.7,54,397.0,12,True,0.0,1.1442,2.3,13.9,True
2021-11-15,low,03:40,3,21.3,False,27.5,27.6,129.1,493,,8,True,0.0,1.14426,1.0,27.6,True
