entry_bar,outcome,r_multiple,risk_pips
360502,OPEN,0.0,19.6
364359,LOSS,-1.0,6.8
364539,WIN,0.0,4.7
365749,LOSS,-1.0,4.8
365879,WIN,4.657,6.7
367133,LOSS,-1.0,5.0
367318,LOSS,-1.0,7.0
367568,OPEN,0.0,17.9
368610,WIN,2.845,5.8
370029,WIN,1.142,14.1
371455,LOSS,-1.0,6.6
371540,LOSS,-1.0,8.1
371785,WIN,1.992,12.3
374305,LOSS,-1.0,2.5
374340,WIN,1.857,12.6
377222,LOSS,-1.0,11.5
377502,LOSS,-1.0,4.9
377607,OPEN,0.0,7.4
380053,LOSS,-1.0,8.9
380233,WIN,1.93,7.1
391469,LOSS,-1.0,7.4
391519,LOSS,-1.0,7.3
391679,LOSS,-1.0,2.4
391819,LOSS,-1.0,7.8
391874,LOSS,-1.0,1.4
391919,LOSS,-1.0,6.2
391989,OPEN,0.0,10.6
392890,LOSS,-1.0,6.2
392950,LOSS,-1.0,8.9
393070,LOSS,-1.0,6.4
393105,LOSS,-1.0,5.5
393200,LOSS,-1.0,2.9
393255,LOSS,-1.0,8.8
393335,LOSS,-1.0,5.2
393435,OPEN,0.0,9.1
394348,LOSS,-1.0,6.2
394382,LOSS,-1.0,4.2
394512,LOSS,-1.0,1.9
394547,LOSS,-1.0,3.3
394637,LOSS,-1.0,4.9
394712,LOSS,-1.0,4.2
394857,OPEN,0.0,8.5
395774,LOSS,-1.0,4.3
395899,LOSS,-1.0,3.9
395994,LOSS,-1.0,9.9
396054,LOSS,-1.0,12.0
396199,LOSS,-1.0,23.0
397213,LOSS,-1.0,5.6
397288,LOSS,-1.0,7.7
397388,LOSS,-1.0,4.2
397478,LOSS,-1.0,9.2
397568,WIN,0.182,25.8
401458,WIN,1.897,3.9
402940,LOSS,-1.0,7.9
403025,LOSS,-1.0,5.6
403125,LOSS,-1.0,1.0
403160,LOSS,-1.0,5.8
403275,WIN,1.06,13.4
404419,WIN,1.176,14.8
405939,WIN,3.196,9.2
407260,OPEN,0.0,10.6
408693,WIN,2.148,8.8
411534,WIN,2.457,9.4
412958,LOSS,-1.0,8.9
413053,LOSS,-1.0,5.2
413158,LOSS,-1.0,14.8
413228,LOSS,-1.0,4.2
413478,LOSS,-1.0,6.1
423020,WIN,0.0,24.7
425980,LOSS,-1.0,13.1
426020,LOSS,-1.0,8.1
426090,WIN,3.092,15.3
430193,LOSS,-1.0,13.4
430238,LOSS,-1.0,6.1
430333,LOSS,-1.0,34.7
430723,WIN,1.19,35.7
431685,LOSS,-1.0,7.0
431770,LOSS,-1.0,10.2
431980,LOSS,-1.0,5.6
432015,LOSS,-1.0,13.2
432190,OPEN,0.0,19.1
433082,LOSS,-1.0,4.7
433117,LOSS,-1.0,4.6
433157,LOSS,-1.0,9.5
433277,LOSS,-1.0,3.1
433422,LOSS,-1.0,10.4
433467,OPEN,0.0,34.5
435940,WIN,0.684,19.3
440367,LOSS,-1.0,17.7
440392,WIN,2.914,12.8
447522,LOSS,-1.0,5.6
447802,LOSS,-1.0,10.5
447902,OPEN,0.0,19.7
448920,LOSS,-1.0,2.5
448980,WIN,0.0,9.2
450374,WIN,3.633,9.0
453305,LOSS,-1.0,15.4
453380,LOSS,-1.0,7.4
453515,LOSS,-1.0,11.3
453585,LOSS,-1.0,9.5
453625,LOSS,-1.0,4.7
453650,LOSS,-1.0,2.5
453765,WIN,0.0,10.0
454824,LOSS,-1.0,13.1
455049,LOSS,-1.0,12.8
455974,LOSS,-1.0,2.6
456069,LOSS,-1.0,8.8
456109,WIN,2.138,10.9
460449,LOSS,-1.0,17.7
460574,LOSS,-1.0,13.0
460794,OPEN,0.0,23.7
461756,WIN,0.0,22.5
463183,LOSS,-1.0,8.7
463238,LOSS,-1.0,3.4
463283,LOSS,-1.0,10.8
463443,LOSS,-1.0,3.9
463503,LOSS,-1.0,6.8
463608,LOSS,-1.0,11.8
463663,OPEN,0.0,6.8
464599,WIN,0.771,8.3
466051,WIN,1.569,12.3
468971,WIN,0.959,12.1
470351,WIN,2.426,5.4
471822,LOSS,-1.0,7.7
472127,WIN,1.341,12.6
477498,LOSS,-1.0,4.0
477628,LOSS,-1.0,7.7
484736,LOSS,-1.0,17.1
485216,OPEN,0.0,19.4
486232,LOSS,-1.0,17.1
486492,LOSS,-1.0,5.0
486537,LOSS,-1.0,9.5
487729,LOSS,-1.0,28.5
487994,LOSS,-1.0,20.8
488079,OPEN,0.0,14.9
488999,WIN,3.127,10.2
491849,WIN,2.641,11.7
493263,LOSS,-1.0,11.1
493323,WIN,1.748,11.5
494697,LOSS,-1.0,7.3
494837,WIN,0.592,9.8
496184,LOSS,-1.0,5.1
496274,LOSS,-1.0,6.0
496294,LOSS,-1.0,14.7
496489,LOSS,-1.0,15.3
496549,LOSS,-1.0,4.6
496629,LOSS,-1.0,6.8
497600,LOSS,-1.0,7.4
497630,WIN,2.725,18.2
499058,WIN,0.748,23.0
500521,LOSS,-1.0,21.2
500706,LOSS,-1.0,11.9
500961,LOSS,-1.0,10.1
503325,LOSS,-1.0,13.8
503400,LOSS,-1.0,34.4
503545,LOSS,-1.0,14.4
503660,LOSS,-1.0,16.3
503790,LOSS,-1.0,12.6
503825,LOSS,-1.0,9.1
509108,LOSS,-1.0,8.2
509143,LOSS,-1.0,3.2
509193,LOSS,-1.0,13.2
509593,LOSS,-1.0,17.7
510539,WIN,3.727,6.6
516224,LOSS,-1.0,11.8
516274,LOSS,-1.0,11.8
516324,LOSS,-1.0,9.5
516374,LOSS,-1.0,9.0
516484,LOSS,-1.0,12.0
516579,LOSS,-1.0,8.0
516669,LOSS,-1.0,8.6
517623,LOSS,-1.0,11.5
517668,WIN,3.24,7.5
519174,LOSS,-1.0,6.7
519234,LOSS,-1.0,6.0
519379,OPEN,0.0,17.3
521972,LOSS,-1.0,10.0
522027,LOSS,-1.0,7.6
522102,LOSS,-1.0,13.8
522167,LOSS,-1.0,13.0
522257,LOSS,-1.0,22.8
522337,OPEN,0.0,17.1
523385,WIN,2.738,6.1
526295,LOSS,-1.0,6.7
526525,LOSS,-1.0,10.2
526595,LOSS,-1.0,7.7
526650,OPEN,0.0,26.2
529105,WIN,0.564,11.7
